Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AETC,129 RQW,144 FW,ANG,Unit 97,Unit 97,CCIP,dapibus augue vel accumsan tellus,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,10/13/2014,4/28/2014,1/30/2015,2/16/2015,6/4/2015,240,171.173.99.82,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",A4,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,Cancelled,SUB-CATEGORY,1.2.3.3 Root Casue Name,Significant,David Brown,Barbara Warren,,FALSE,TRUE,FALSE,TRUE,680-64-2913,10/11/2015,Jimmy Grant,In Progress,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,pede venenatis non sodales sed,Contributing,TR2 Training guidance/policy/procedures inadequate 
AMW,146 AMW,144 FW,ANG,Unit 90,Unit 90,CCIP,sagittis dui vel,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,2/26/2014,12/7/2013,1/28/2015,12/15/2014,7/2/2015,1,110.144.194.187,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",SG,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,Pending,SUB-CATEGORY,1.1.2.4 Root Casue Name,Critcal,Michelle Garcia,Fred Holmes,,TRUE,FALSE,TRUE,TRUE,666-37-4421,9/4/2015,Jennifer West,Complete,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,tempus vel pede morbi porttitor,Primary,TR3 Training oversight inadequate 
ACC,195 W,144 FW,ANG,Unit 27,Unit 27,UEI,eget tempus vel,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,10/31/2015,10/17/2014,2/10/2014,8/31/2015,7/6/2015,640,186.210.222.250,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,A9,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,Accepted,SUB-CATEGORY,1.3.3.4 Root Casue Name,Minor,Andrew Hill,Deborah Jacobs,,FALSE,TRUE,TRUE,FALSE,947-18-4743,8/31/2015,Denise Cunningham,In Progress,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,odio elementum eu interdum eu tincidunt in,Primary,TR4 Training support inadequate 
ACC,146 AMW,146 AMW,ANG,Unit 66,Unit 66,UEI,quam suspendisse potenti nullam porttitor,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,4/28/2014,10/11/2015,11/23/2013,9/4/2015,6/16/2015,42,186.101.6.202,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",A2,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,Pending,SUB-CATEGORY,1.1.3.1 Root Casue Name,Critcal,Gerald Freeman,Lisa Cox,,TRUE,FALSE,TRUE,FALSE,888-49-9538,8/8/2015,Phillip Simmons,Complete,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,id sapien in sapien iaculis congue vivamus metus arcu,Primary,TR5 Controls/metrics of training process/progress inadequate 
AETC,163 RW,146 AMW,ANG,Unit 72,Unit 72,CCIP,accumsan felis ut,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,5/6/2015,11/20/2013,6/19/2014,2/8/2015,2/7/2015,383,187.8.247.91,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,SE,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,Closed,SUB-CATEGORY,1.2.3.4 Root Casue Name,Minor,Adam Foster,Mildred Kim,,FALSE,FALSE,TRUE,TRUE,545-88-3165,4/2/2015,Billy Weaver,In Progress,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,sagittis dui vel nisl duis ac nibh fusce,Primary,TR6 Initial qualification training inadequate 
AFSPC,146 AMW,144 FW,ANG,Unit 68,Unit 68,CCIP,condimentum neque sapien placerat,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,9/3/2015,6/5/2015,3/20/2014,9/27/2015,3/27/2015,316,34.47.179.213,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",SG,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Closed,SUB-CATEGORY,1.2.2.2 Root Casue Name,Minor,Tina Mills,Judith Collins,,TRUE,FALSE,TRUE,TRUE,618-22-0238,2/25/2015,Sharon Mccoy,In Progress,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,Primary,TR7 Hands-on training inadequate 
AFSPC,195 W,129 RQW,ANG,Unit 62,Unit 62,UEI,nonummy maecenas tincidunt lacus,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,6/7/2014,6/16/2015,7/30/2014,11/28/2014,9/1/2015,602,208.30.154.83,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",A10,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,Proposed,SUB-CATEGORY,1.3.4.3 Root Casue Name,Critcal,Kenneth Smith,Kevin Sims,,FALSE,FALSE,FALSE,FALSE,793-33-7003,1/27/2015,Lillian Bowman,Not Started,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,vestibulum velit id pretium iaculis diam erat,Primary,LS2 Ineffective communication 
AETC,129 RQW,163 RW,ANG,Unit 87,Unit 87,UEI,turpis integer aliquet massa,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,4/18/2015,12/1/2014,11/2/2015,10/27/2015,1/9/2015,468,27.73.187.33,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,A3,velit id pretium iaculis diam erat fermentum justo nec condimentum neque,Proposed,SUB-CATEGORY,1.4.4.1 Root Casue Name,Significant,Alan Williams,Kimberly Rodriguez,,TRUE,TRUE,TRUE,FALSE,408-42-2072,9/8/2015,Patrick Cooper,Complete,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,risus semper porta volutpat quam pede lobortis ligula sit amet,Contributing,LS3 Decision making process ineffective (Risk Management) 
ACC,195 W,144 FW,ANG,Unit 70,Unit 70,UEI,iaculis diam erat fermentum justo,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,6/5/2014,4/9/2014,4/24/2014,7/26/2015,12/25/2014,57,210.233.172.7,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",A8,nulla elit ac nulla sed vel enim sit amet nunc,Implemented,SUB-CATEGORY,1.4.4.3 Root Casue Name,Significant,Lois Morrison,Richard Ramos,,TRUE,FALSE,FALSE,TRUE,126-33-2404,11/26/2014,Angela Patterson,Complete,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,primis in faucibus orci luctus,Primary,LS4 Workforce effectiveness limited by existing human relations climate 
AFSPC,144 FW,129 RQW,ANG,Unit 32,Unit 32,CCIP,sed tincidunt eu felis,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,9/8/2015,1/26/2015,1/27/2015,9/11/2015,8/11/2015,107,154.95.125.243,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",A2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,Closed,SUB-CATEGORY,1.3.3.3 Root Casue Name,Minor,Teresa Dixon,Marie Campbell,,TRUE,TRUE,FALSE,FALSE,501-61-0936,1/28/2015,Nancy Barnes,Not Started,eget tincidunt eget tempus vel pede morbi porttitor lorem id,quis libero nullam sit amet turpis elementum,Contributing,LS5 Physical working conditions not conducive to productivity 
AMW,163 RW,146 AMW,ANG,Unit 79,Unit 79,CCIP,potenti cras in purus,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,7/27/2014,7/23/2015,2/21/2014,1/4/2015,2/20/2015,450,244.12.123.172,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",SE,nulla integer pede justo lacinia eget tincidunt eget tempus vel,Implemented,SUB-CATEGORY,1.2.4.2 Root Casue Name,Significant,Christopher Johnston,Craig Henderson,,FALSE,TRUE,FALSE,FALSE,509-74-3243,1/9/2015,Barbara Carr,Complete,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,a suscipit nulla elit ac nulla,Contributing,LS6 Ops Tempo/Workload 
AETC,129 RQW,144 FW,ANG,Unit 52,Unit 52,UEI,feugiat non pretium,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,9/28/2014,12/26/2013,10/10/2014,2/20/2015,7/23/2015,289,51.52.154.208,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",SG,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,Closed,SUB-CATEGORY,1.4.1.4 Root Casue Name,Minor,Rebecca Stanley,Lillian Wallace,,TRUE,FALSE,TRUE,TRUE,493-56-2559,3/12/2015,Emily Henderson,In Progress,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,Contributing,LS7 Unit incorrectly prioritized available resources 
AETC,163 RW,144 FW,ANG,Unit 8,Unit 8,UEI,arcu adipiscing molestie hendrerit,ligula nec sem duis aliquam convallis nunc proin at turpis a pede,10/2/2015,8/19/2015,11/13/2013,6/22/2015,7/22/2015,510,183.70.15.109,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,A2,magnis dis parturient montes nascetur ridiculus mus etiam vel augue,Open,SUB-CATEGORY,1.2.4.2 Root Casue Name,Minor,Jonathan Stephens,Patricia Butler,,TRUE,FALSE,FALSE,FALSE,232-00-2483,2/5/2015,Benjamin Kelley,In Progress,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum,sit amet sapien dignissim vestibulum vestibulum ante ipsum,Contributing,LS8 Unit failed to adequately program resources 
AFSPC,195 W,163 RW,ANG,Unit 86,Unit 86,UEI,at nulla suspendisse,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,4/4/2014,4/12/2015,3/26/2015,7/28/2015,1/22/2015,364,238.194.128.119,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",SG,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,Implemented,SUB-CATEGORY,1.1.2.4 Root Casue Name,Significant,Kelly Hunter,Victor Sanchez,,TRUE,FALSE,TRUE,TRUE,409-79-1143,1/10/2015,Sandra Ramirez,Complete,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,sit amet sapien dignissim vestibulum vestibulum,Contributing,RS1 Program shortfall (Air Force level) 
AFSPC,163 RW,163 RW,ANG,Unit 50,Unit 50,UEI,egestas metus aenean fermentum,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,7/23/2014,1/9/2015,3/15/2015,7/3/2015,11/30/2014,233,14.142.82.37,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",SG,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,Cancelled,SUB-CATEGORY,1.3.3.4 Root Casue Name,Significant,Philip Fernandez,Annie Larson,,FALSE,FALSE,FALSE,FALSE,195-57-9006,3/19/2015,Theresa Richards,Complete,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,faucibus orci luctus et ultrices posuere,Primary,RS2 Program shortfall (MAJCOM level) 
AFSPC,144 FW,146 AMW,ANG,Unit 72,Unit 72,UEI,nunc rhoncus dui vel,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,11/17/2013,6/18/2015,2/25/2015,6/17/2015,7/21/2015,3,182.67.78.60,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,A6,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Open,SUB-CATEGORY,1.4.1.4 Root Casue Name,Minor,Kathleen Crawford,Louis Simpson,,FALSE,TRUE,FALSE,TRUE,431-68-7442,10/28/2015,Janice Wells,Not Started,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,Contributing,RS3 Program shortfall (wing/installation level) 
ACC,163 RW,163 RW,ANG,Unit 61,Unit 61,CCIP,turpis enim blandit mi,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,2/10/2015,10/17/2014,1/16/2015,3/20/2015,12/7/2014,47,173.8.28.2,Fusce consequat. Nulla nisl. Nunc nisl.,A2,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,Open,SUB-CATEGORY,1.1.4.1 Root Casue Name,Significant,Anne Lynch,Jeffrey Graham,,TRUE,TRUE,FALSE,TRUE,873-56-5186,11/24/2014,Kathryn Warren,Complete,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,orci eget orci vehicula condimentum curabitur in libero ut,Contributing,RS4 Parent unit withheld funding 
AMW,146 AMW,163 RW,ANG,Unit 92,Unit 92,CCIP,pede malesuada in imperdiet et,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,3/9/2015,1/16/2014,11/19/2013,2/16/2015,12/30/2014,586,167.116.195.11,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,A2,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,Accepted,SUB-CATEGORY,1.4.3.4 Root Casue Name,Minor,Laura Kim,Amy Little,,TRUE,FALSE,TRUE,FALSE,919-02-4811,10/3/2015,Joshua Porter,In Progress,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,nulla justo aliquam quis turpis eget elit sodales,Primary,RS5 Assigned personnel less than accepted CONUS/OCONUS manning averages 
AFSPC,144 FW,146 AMW,ANG,Unit 1,Unit 1,CCIP,turpis donec posuere metus,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,1/28/2015,4/2/2015,12/17/2014,5/6/2015,4/11/2015,314,6.93.83.177,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",A8,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,Closed,SUB-CATEGORY,1.4.2.3 Root Casue Name,Critcal,Debra Hernandez,Margaret Peterson,,FALSE,TRUE,TRUE,FALSE,227-67-6995,1/28/2015,Chris Chapman,Complete,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,convallis eget eleifend luctus ultricies eu nibh,Primary,RS6 Insufficient personnel due to TDY/deployment 
AMW,195 W,146 AMW,ANG,Unit 81,Unit 81,UEI,lectus in quam fringilla,sapien quis libero nullam sit amet turpis elementum ligula vehicula,5/1/2015,1/1/2015,11/6/2015,3/1/2015,1/20/2015,558,15.108.142.88,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",A2,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,Implemented,SUB-CATEGORY,1.4.2.2 Root Casue Name,Critcal,Irene Carter,Betty Gray,,TRUE,FALSE,FALSE,FALSE,581-02-5365,9/20/2015,Keith Gibson,Complete,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,Contributing,RS7 Insufficient personnel due to medical profile 
AMW,144 FW,163 RW,ANG,Unit 57,Unit 57,UEI,sit amet nunc viverra dapibus,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,11/9/2014,9/29/2014,9/20/2015,5/10/2015,8/26/2015,43,247.93.199.65,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",A2,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,Pending,SUB-CATEGORY,1.4.4.4 Root Casue Name,Minor,Juan Fields,Gary Flores,,FALSE,TRUE,FALSE,TRUE,354-63-9963,7/9/2015,Aaron Hughes,Not Started,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,imperdiet nullam orci pede venenatis non,Contributing,RS7 Insufficient personnel due to medical profile 
AFSPC,144 FW,163 RW,ANG,Unit 2,Unit 2,CCIP,viverra diam vitae quam,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,1/31/2014,8/27/2015,5/9/2014,3/30/2015,6/29/2015,624,49.80.102.49,Fusce consequat. Nulla nisl. Nunc nisl.,SG,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,Closed,SUB-CATEGORY,1.3.3.4 Root Casue Name,Critcal,Robert Lawson,Julie Webb,,TRUE,TRUE,FALSE,TRUE,449-64-2944,3/11/2015,Virginia George,Complete,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,nisi volutpat eleifend donec ut dolor morbi vel,Contributing,RS8 Insufficient personnel due to validated installation augmentee requirements shortfall 
AETC,195 W,144 FW,ANG,Unit 46,Unit 46,CCIP,diam cras pellentesque volutpat dui,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,9/6/2014,6/7/2014,6/25/2015,7/19/2015,4/5/2015,657,139.133.210.238,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A3,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,Closed,SUB-CATEGORY,1.1.2.3 Root Casue Name,Minor,Larry Myers,Jerry Clark,,FALSE,FALSE,TRUE,TRUE,132-27-5100,5/25/2015,Patricia Hernandez,Not Started,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,non ligula pellentesque ultrices phasellus id sapien in sapien,Contributing,RS9 Awaiting security clearance 
AMW,163 RW,144 FW,ANG,Unit 68,Unit 68,CCIP,mauris sit amet,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,7/8/2014,8/20/2014,3/21/2014,8/27/2015,9/10/2015,127,93.104.24.197,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",A2,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,Accepted,SUB-CATEGORY,1.4.1.4 Root Casue Name,Critcal,Kathy Armstrong,Michelle Carroll,,TRUE,FALSE,TRUE,TRUE,855-44-3534,8/19/2015,Nicole Perez,Complete,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,porta volutpat quam pede lobortis ligula,Contributing,RS10 Awaiting resupply 
ACC,144 FW,163 RW,ANG,Unit 67,Unit 67,CCIP,faucibus orci luctus et ultrices,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,1/18/2015,7/30/2014,12/2/2013,11/5/2015,9/25/2015,668,164.139.38.208,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",A5,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,Open,SUB-CATEGORY,1.4.3.2 Root Casue Name,Significant,Emily Kim,Matthew Harper,,TRUE,TRUE,FALSE,TRUE,304-38-2025,8/6/2015,Alice Morales,In Progress,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,donec posuere metus vitae ipsum aliquam non mauris morbi non,Contributing,RS11 Not requisitioned 
AETC,129 RQW,195 W,ANG,Unit 40,Unit 40,UEI,proin interdum mauris,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,6/25/2014,5/8/2014,6/29/2015,5/5/2015,8/13/2015,625,74.200.232.204,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,A5,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,Closed,SUB-CATEGORY,1.3.4.3 Root Casue Name,Critcal,Adam Gomez,Annie Diaz,,TRUE,TRUE,FALSE,FALSE,786-29-1555,8/26/2015,Karen Carter,In Progress,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,pellentesque ultrices phasellus id sapien in sapien iaculis,Primary,RS12 Maintenance 
AETC,144 FW,163 RW,ANG,Unit 3,Unit 3,CCIP,sit amet eleifend pede libero,lorem quisque ut erat curabitur gravida nisi at nibh in,1/8/2014,10/21/2014,12/27/2014,1/19/2015,7/16/2015,448,55.69.101.166,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A2,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,Implemented,SUB-CATEGORY,1.2.3.4 Root Casue Name,Minor,Christine Grant,Virginia Hansen,,FALSE,FALSE,FALSE,FALSE,826-61-8279,3/1/2015,Sean Robinson,Not Started,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,tempus sit amet sem fusce consequat nulla nisl nunc nisl,Contributing,RS13 Deployed 
ACC,163 RW,146 AMW,ANG,Unit 5,Unit 5,UEI,volutpat dui maecenas,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,5/30/2014,5/26/2014,5/20/2015,6/29/2015,6/7/2015,622,20.247.117.229,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",A8,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Implemented,SUB-CATEGORY,1.2.3.1 Root Casue Name,Minor,Bonnie Bowman,Arthur Barnes,,FALSE,FALSE,FALSE,FALSE,431-62-5858,7/8/2015,Katherine Gilbert,Complete,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,lorem ipsum dolor sit amet consectetuer adipiscing elit proin,Primary,RS14 Insufficient personnel due to PRP certification/requirements 
AETC,163 RW,146 AMW,ANG,Unit 80,Unit 80,UEI,aliquam erat volutpat,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,7/27/2015,12/30/2014,8/24/2015,8/15/2015,5/17/2015,501,81.12.115.239,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",SG,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,Closed,SUB-CATEGORY,1.3.4.4 Root Casue Name,Minor,Sharon Snyder,William Medina,,FALSE,TRUE,FALSE,TRUE,724-28-9071,1/29/2015,Daniel Murray,Not Started,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,velit id pretium iaculis diam erat fermentum justo,Primary,SE1 Flight Safety Program management inadequate 
ACC,163 RW,146 AMW,ANG,Unit 86,Unit 86,CCIP,vestibulum aliquet ultrices erat tortor,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,6/27/2015,11/12/2014,8/3/2015,4/4/2015,10/27/2015,58,133.218.200.219,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A5,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,Accepted,SUB-CATEGORY,1.4.4.2 Root Casue Name,Significant,Justin James,Henry Warren,,FALSE,FALSE,TRUE,TRUE,784-10-2495,7/25/2015,Brenda Carpenter,Not Started,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,magnis dis parturient montes nascetur ridiculus mus,Primary,SE2 Selected aspects of flight safety program not effectively implemented
ACC,195 W,129 RQW,ANG,Unit 56,Unit 56,UEI,vulputate justo in blandit ultrices,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,10/3/2014,6/9/2015,5/13/2014,12/2/2014,10/21/2015,162,9.21.12.223,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",A10,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,Implemented,SUB-CATEGORY,1.3.3.4 Root Casue Name,Critcal,Cynthia Kelly,Jerry White,,TRUE,TRUE,TRUE,TRUE,615-30-4903,8/1/2015,Carolyn Burke,Complete,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,lectus in quam fringilla rhoncus mauris enim leo,Contributing,SE3 Flight Safety Supervisory support inadequate 
